================================================================================
MISMATCH QUERY REMOVAL REPORT
Generated: 2025-12-30 18:05:20
================================================================================

SUMMARY
----------------------------------------
Total test queries removed:  1238
Total train queries removed: 1151
Test queries remaining:      10148
Train queries remaining:     77465
Unique tags affected:        260

REMOVAL COUNTS BY TAG
--------------------------------------------------------------------------------
#     Tag Name                                           Test       Train      Total     
--------------------------------------------------------------------------------
195   ask_if_any_other_questions                         1          1          2         
196   card_correction_fees                               1          1          2         
197   cell_phone_number_correct_or_add_document_new      1          1          2         
198   face_verification_no_next_option                   1          1          2         
199   foreign_resident_card_picture_done__inquery_done.. 1          1          2         
200   foreign_resident_card_picture_done_not_inquery_f.. 1          1          2         
201   foreign_resident_card_registration_rejected        1          1          2         
202   login_using_old_id_password                        1          1          2         
203   new_voter_but_card_rejected                        1          1          2         
204   new_voter_card_getting_time                        1          1          2         
205   new_voter_how_to_get_card                          1          1          2         
206   new_voter_smart_card_how_to_get                    1          1          2         
207   nid_wallet_download                                1          1          2         
208   no_otp_in_registration                             1          1          2         
209   online_apply                                       1          1          2         
210   online_new_voter_registration                      1          1          2         
211   online_no_apply                                    1          1          2         
212   permanent_address_change_fees                      1          1          2         
213   photo_correction                                   1          1          2         
214   photo_signature_change_application_not_approved    1          1          2         
215   present_address_change_process_duration            1          1          2         
216   reigister_as_new_voter_but_birth_registration_di.. 1          1          2         
217   smart_card_collect_by_other                        1          1          2         
218   smart_card_from_where                              1          1          2         
219   smart_card_ready_sms                               1          1          2         
220   smart_card_selected_but_get_pdf                    1          1          2         
221   voter_halnagad_registration_not_done               1          1          2         
222   voter_slip_lost_how_to_get_new_card                1          1          2         
223   birth_date_no_proof_model                          1          1          2         
224   abroad_current_address_issue                       1          1          2         
225   abroad_illegal_resident_nid                        1          1          2         
226   abroad_smart_card_priority_request                 1          1          2         
227   address_change_download_option                     1          1          2         
228   address_change_smart_card_availability             1          1          2         
229   address_change_which_office                        1          1          2         
230   address_no_permanent_housing                       1          1          2         
231   address_type_difference_confusion                  1          1          2         
232   age_change_over_five_years_documents               1          1          2         
233   correction_nid_number_unchanged                    1          1          2         
234   deceased_person_reissue_not_allowed                1          1          2         
235   disability_lost_fingers_after_registration         1          1          2         
236   divorce_address_change_procedure                   1          1          2         
237   form_number_lost_alternative_download              1          1          2         
238   freelancing_smart_card_urgent_need                 1          1          2         
239   land_office_nid_verification_problem               1          1          2         
240   migration_form_thirteen_procedure                  1          1          2         
241   migration_permanent_present_address_confusion      1          1          2         
242   migration_personal_attendance_required             1          1          2         
243   mobile_number_card_display_suggestion              1          1          2         
244   offline_application_method                         1          1          2         
245   parent_death_date_addition_documents               1          1          2         
246   permanent_address_modification_fees                1          1          2         
247   present_address_field_missing                      1          1          2         
248   reissue_nid_number_change_query                    1          1          2         
249   reissue_smart_card_download_not_available          1          1          2         
250   smart_card_chip_corrosion_issue                    1          1          2         
251   smart_card_damaged_chip_functionality              1          1          2         
252   smart_card_eeprom_memory_limitations               1          1          2         
253   smart_card_future_technology_replacement           1          1          2         
254   voter_area_village_name_correction                 1          1          2         
255   voting_smart_card_requirement                      1          1          2         
256   correction_fee_submitted_but_balance_zero          1          0          1         
257   faster_voter_registration                          1          0          1         
258   form_number_not_working                            1          0          1         
259   one_mobile_number_how_many_time_registration       1          0          1         
260   reissue_normal_to_urgent_upgrade_not_possible      1          0          1         
--------------------------------------------------------------------------------
TOTAL                                                    1238       1151       2389      
================================================================================
